1600,     0.301570,     0.854189,     0.624955,     0.002664,    -0.001380,     0.000237
1601,     0.302056,     0.853951,     0.625019,     0.002699,    -0.001244,     0.000472
1602,     0.302547,     0.853739,     0.625126,     0.002713,    -0.001097,     0.000703
1603,     0.303038,     0.853554,     0.625274,     0.002703,    -0.000942,     0.000928
1604,     0.303525,     0.853398,     0.625462,     0.002672,    -0.000778,     0.001146
1605,     0.304004,     0.853272,     0.625688,     0.002618,    -0.000609,     0.001354
1606,     0.304472,     0.853178,     0.625952,     0.002542,    -0.000434,     0.001551
1607,     0.304924,     0.853115,     0.626250,     0.002446,    -0.000255,     0.001735
1608,     0.305356,     0.853086,     0.626579,     0.002329,    -0.000075,     0.001905
1609,     0.305766,     0.853088,     0.626939,     0.002193,     0.000107,     0.002059
1610,     0.306150,     0.853124,     0.627324,     0.002038,     0.000287,     0.002195
1611,     0.306504,     0.853192,     0.627733,     0.001867,     0.000465,     0.002314
1612,     0.306825,     0.853292,     0.628161,     0.001680,     0.000639,     0.002414
1613,     0.307111,     0.853423,     0.628606,     0.001480,     0.000808,     0.002493
1614,     0.307360,     0.853584,     0.629063,     0.001267,     0.000970,     0.002552
1615,     0.307570,     0.853774,     0.629529,     0.001044,     0.001124,     0.002589
1616,     0.307738,     0.853991,     0.630000,     0.000812,     0.001269,     0.002606
1617,     0.307863,     0.854233,     0.630472,     0.000573,     0.001403,     0.002600
1618,     0.307945,     0.854498,     0.630940,     0.000329,     0.001525,     0.002573
1619,     0.307982,     0.854785,     0.631403,     0.000083,     0.001635,     0.002525
1620,     0.307975,     0.855090,     0.631854,    -0.000164,     0.001732,     0.002456
1621,     0.307923,     0.855411,     0.632291,    -0.000409,     0.001814,     0.002366
1536,     0.303589,     0.853527,     0.625710,     0.002721,    -0.000757,     0.001221
1537,     0.304066,     0.853409,     0.625946,     0.002658,    -0.000574,     0.001441
1538,     0.304529,     0.853324,     0.626220,     0.002570,    -0.000386,     0.001647
1539,     0.304975,     0.853272,     0.626529,     0.002460,    -0.000194,     0.001839
1540,     0.305399,     0.853255,     0.626871,     0.002327,    -0.000001,     0.002014
1541,     0.305798,     0.853272,     0.627241,     0.002172,     0.000193,     0.002171
1542,     0.306168,     0.853323,     0.627638,     0.001999,     0.000385,     0.002308
1543,     0.306505,     0.853408,     0.628058,     0.001807,     0.000573,     0.002424
1544,     0.306807,     0.853526,     0.628496,     0.001599,     0.000756,     0.002518
1545,     0.307071,     0.853675,     0.628949,     0.001376,     0.000932,     0.002590
1546,     0.307294,     0.853856,     0.629412,     0.001141,     0.001100,     0.002638
1547,     0.307474,     0.854065,     0.629882,     0.000895,     0.001258,     0.002662
1548,     0.307610,     0.854300,     0.630354,     0.000642,     0.001404,     0.002662
1549,     0.307701,     0.854561,     0.630824,     0.000382,     0.001538,     0.002638
1550,     0.307746,     0.854844,     0.631287,     0.000119,     0.001658,     0.002590
1551,     0.307743,     0.855148,     0.631740,    -0.000145,     0.001762,     0.002518
1552,     0.307694,     0.855468,     0.632178,    -0.000407,     0.001851,     0.002424
1553,     0.307827,     0.855746,     0.632710,    -0.000652,     0.001881,     0.002257
1554,     0.307687,     0.856092,     0.633107,    -0.000888,     0.001932,     0.002129
1555,     0.307506,     0.856445,     0.633480,    -0.001118,     0.001968,     0.001984
1556,     0.307283,     0.856804,     0.633825,    -0.001338,     0.001987,     0.001822
1557,     0.307022,     0.857164,     0.634139,    -0.001547,     0.001990,     0.001645
1558,     0.306724,     0.857523,     0.634420,    -0.001743,     0.001976,     0.001454
1559,     0.306391,     0.857879,     0.634665,    -0.001925,     0.001946,     0.001251
1560,     0.306027,     0.858227,     0.634873,    -0.002091,     0.001899,     0.001038
1561,     0.305635,     0.858566,     0.635041,    -0.002239,     0.001837,     0.000817
1562,     0.305217,     0.858892,     0.635168,    -0.002369,     0.001760,     0.000588
1563,     0.304778,     0.859203,     0.635254,    -0.002480,     0.001668,     0.000355
1564,     0.304320,     0.859495,     0.635297,    -0.002569,     0.001563,     0.000119
1565,     0.303848,     0.859768,     0.635297,    -0.002638,     0.001444,    -0.000119
1566,     0.303366,     0.860018,     0.635254,    -0.002685,     0.001313,    -0.000355
1567,     0.302877,     0.860243,     0.635168,    -0.002709,     0.001172,    -0.000588
1568,     0.302386,     0.860442,     0.635041,    -0.002711,     0.001021,    -0.000817
1569,     0.301896,     0.860612,     0.634873,    -0.002690,     0.000861,    -0.001038
1570,     0.301413,     0.860753,     0.634665,    -0.002647,     0.000694,    -0.001251
1571,     0.300939,     0.860863,     0.634420,    -0.002583,     0.000522,    -0.001454
1572,     0.300478,     0.860942,     0.634139,    -0.002497,     0.000345,    -0.001645
1573,     0.300036,     0.860988,     0.633825,    -0.002390,     0.000165,    -0.001822
1574,     0.299614,     0.861002,     0.633480,    -0.002263,    -0.000016,    -0.001984
1575,     0.299217,     0.860982,     0.633107,    -0.002118,    -0.000197,    -0.002129
1576,     0.298848,     0.860930,     0.632710,    -0.001955,    -0.000376,    -0.002257
1577,     0.298510,     0.860846,     0.632291,    -0.001776,    -0.000552,    -0.002366
1578,     0.298205,     0.860730,     0.631854,    -0.001582,    -0.000724,    -0.002456
1579,     0.297938,     0.860584,     0.631403,    -0.001375,    -0.000890,    -0.002525
1580,     0.297708,     0.860409,     0.630940,    -0.001156,    -0.001048,    -0.002573
1581,     0.297519,     0.860205,     0.630472,    -0.000928,    -0.001197,    -0.002600
1582,     0.297372,     0.859975,     0.630000,    -0.000693,    -0.001337,    -0.002606
